,,,,,,
date,reservoir_storage,conservation_storage,percent_full,conservation_capacity,,
2018-05-20,31011381,26420266,83.8,31518919,,
2018-05-21,31024579,26440431,83.9,31518919,,
2018-05-22,30988632,26419867,83.8,31518919,,
2018-05-23,30954017,26394658,83.7,31518919,,
2018-05-24,30934273,26369266,83.7,31518919,,
2018-05-25,30909566,26344157,83.6,31518919,,
2018-05-26,30880372,26315597,83.5,31518919,,
2018-05-27,30856407,26289839,83.4,31518919,,
2018-05-28,30830425,26268849,83.3,31518919,,
2018-05-29,30780798,26234263,83.2,31518919,,
2018-05-30,30709081,26185164,83.1,31518919,,
2018-05-31,30640291,26138829,82.9,31518919,,
2018-06-01,30604296,26032143,82.8,31440033,,
2018-06-02,30560297,25997696,82.7,31440033,,
2018-06-03,30520616,25962505,82.6,31440033,,
2018-06-04,30495406,25945326,82.5,31440033,,
2018-06-05,30467046,25924725,82.5,31440033,,
2018-06-06,30414812,25887199,82.3,31440033,,
2018-06-07,30364327,25849790,82.2,31440033,,
2018-06-08,30326179,25823623,82.1,31440033,,
2018-06-09,30279630,25788387,82,31440033,,
2018-06-10,30231637,25740257,81.9,31440033,,
2018-06-11,30187629,25705584,81.8,31440033,,
2018-06-12,30147646,25675408,81.7,31440033,,
2018-06-13,30110011,25645961,81.6,31440033,,
2018-06-14,30051497,25605191,81.4,31440033,,
2018-06-15,29985624,25552691,81.3,31440033,,
2018-06-16,29924328,25506121,81.1,31440033,,
2018-06-17,29872905,25470474,81,31440033,,
2018-06-18,29820872,25430985,80.9,31440033,,
2018-06-19,29802248,25414742,80.8,31440033,,
2018-06-20,29816792,25428660,80.9,31440033,,
2018-06-21,29859227,25452496,81,31440033,,
2018-06-22,29837930,25433857,80.9,31440033,,
2018-06-23,29804530,25412497,80.8,31440033,,
2018-06-24,29766048,25383859,80.7,31440033,,
2018-06-25,29742400,25361034,80.7,31440033,,
2018-06-26,29716800,25337269,80.6,31440033,,
2018-06-27,29682237,25307666,80.5,31440033,,
2018-06-28,29636864,25272406,80.4,31440033,,
2018-06-29,29585260,25229852,80.2,31440033,,
2018-06-30,29537477,25188428,80.1,31440033,,
2018-07-01,29498523,25158313,80,31440033,,
2018-07-02,29468526,25130196,79.9,31440033,,
2018-07-03,29434413,25098644,79.8,31440033,,
2018-07-04,29402588,25067768,79.7,31440033,,
2018-07-05,29404056,25057162,79.7,31440033,,
2018-07-06,29383682,25043776,79.7,31440033,,
2018-07-07,29368417,25029167,79.6,31440033,,
2018-07-08,29343122,25006012,79.5,31440033,,
2018-07-09,29344645,25000434,79.5,31440033,,
2018-07-10,29343209,24995822,79.5,31440033,,
2018-07-11,29320749,24977222,79.4,31440033,,
2018-07-12,29295290,24955267,79.4,31440033,,
2018-07-13,29277954,24939648,79.3,31440033,,
2018-07-14,29242914,24908496,79.2,31440033,,
2018-07-15,29203712,24873671,79.1,31440033,,
2018-07-16,29163586,24839775,79,31440033,,
2018-07-17,29118789,24802250,78.9,31440033,,
2018-07-18,29065227,24758818,78.7,31440033,,
2018-07-19,29005868,24709929,78.6,31440033,,
2018-07-20,28946612,24661983,78.4,31440033,,
2018-07-21,28889993,24616038,78.3,31440033,,
2018-07-22,28840905,24573719,78.2,31440033,,
2018-07-23,28791889,24534131,78,31440033,,
2018-07-24,28734103,24485582,77.9,31440033,,
2018-07-25,28692796,24453395,77.8,31440033,,
2018-07-26,28636953,24411169,77.6,31440033,,
2018-07-27,28601002,24384333,77.6,31440033,,
2018-07-28,28555131,24348489,77.4,31440033,,
2018-07-29,28500111,24299237,77.3,31440033,,
